student_id,program_id,preference_number
1,1,1
1,3,2
1,41,3
1,6,4
1,7,5
1,11,6
1,16,7
1,29,8
1,30,9
1,39,10
1,4,11
2,1,1
2,17,2
2,26,3
2,31,4
2,2,5
2,7,6
2,6,7
2,32,8
2,8,9
2,14,10
2,19,11
2,29,12
2,40,13
3,6,1
3,11,2
3,21,3
3,46,4
3,2,5
3,7,6
3,12,7
3,27,8
3,9,9
3,24,10
3,5,11
3,20,12
3,25,13
3,30,14
4,12,1
4,3,2
4,4,3
4,6,4
4,11,5
4,2,6
4,15,7
4,16,8
4,20,9
4,22,10
4,24,11
4,28,12
4,43,13
4,48,14
5,6,1
5,2,2
5,12,3
5,27,4
5,8,5
5,13,6
5,38,7
5,14,8
5,19,9
5,24,10
5,29,11
5,5,12
5,25,13
6,1,1
6,42,2
6,3,3
6,6,4
6,7,5
6,10,6
6,14,7
6,16,8
6,38,9
6,40,10
6,2,11
6,46,12
7,1,1
7,28,2
7,5,3
7,7,4
7,11,5
7,12,6
7,19,7
7,21,8
7,24,9
7,26,10
7,2,11
7,41,12
7,42,13
8,27,1
8,6,2
8,16,3
8,41,4
8,2,5
8,7,6
8,12,7
8,22,8
8,1,9
8,47,10
8,8,11
8,14,12
8,48,13
8,5,14
8,35,15
8,45,16
9,1,1
9,3,2
9,2,3
9,6,4
9,11,5
9,18,6
9,22,7
9,23,8
9,24,9
9,26,10
9,27,11
9,36,12
9,38,13
10,6,1
10,11,2
10,21,3
10,7,4
10,2,5
10,31,6
10,3,7
10,8,8
10,28,9
10,34,10
10,44,11
10,20,12
10,50,13
11,33,1
11,6,2
11,11,3
11,21,4
11,2,5
11,7,6
11,27,7
11,32,8
11,37,9
11,28,10
11,1,11
11,49,12
11,5,13
11,20,14
11,35,15
12,1,1
12,3,2
12,4,3
12,24,4
12,12,5
12,6,6
12,27,7
12,31,8
12,32,9
12,40,10
12,49,11
13,1,1
13,6,2
13,3,3
13,2,4
13,7,5
13,12,6
13,17,7
13,27,8
13,37,9
13,21,10
13,13,11
13,10,12
13,20,13
13,40,14
14,1,1
14,25,2
14,10,3
14,11,4
14,12,5
14,18,6
14,23,7
14,7,8
14,28,9
14,29,10
14,32,11
15,1,1
15,29,2
15,7,3
15,8,4
15,11,5
15,12,6
15,17,7
15,19,8
15,23,9
15,24,10
15,25,11
15,28,12
15,2,13
15,36,14
16,1,1
16,6,2
16,11,3
16,12,4
16,19,5
16,13,6
16,22,7
16,29,8
16,31,9
16,47,10
17,1,1
17,6,2
17,11,3
17,2,4
17,12,5
17,22,6
17,27,7
17,8,8
17,38,9
17,4,10
17,24,11
17,25,12
17,35,13
18,1,1
18,11,2
18,49,3
18,17,4
18,22,5
18,8,6
18,9,7
18,12,8
18,10,9
18,50,10
19,1,1
19,2,2
19,5,3
19,7,4
19,8,5
19,10,6
19,11,7
19,15,8
19,22,9
19,29,10
19,35,11
19,42,12
19,36,13
19,44,14
20,1,1
20,4,2
20,6,3
20,7,4
20,10,5
20,14,6
20,26,7
20,33,8
20,32,9
20,48,10
21,1,1
21,9,2
21,3,3
21,8,4
21,6,5
21,7,6
21,5,7
21,2,8
21,11,9
21,13,10
21,18,11
21,22,12
21,23,13
21,29,14
21,38,15
21,41,16
21,43,17
22,1,1
22,2,2
22,9,3
22,10,4
22,11,5
22,12,6
22,25,7
22,24,8
22,13,9
22,27,10
22,35,11
22,40,12
22,44,13
22,45,14
23,6,1
23,26,2
23,7,3
23,12,4
23,19,5
23,8,6
23,13,7
23,18,8
23,23,9
23,28,10
23,32,11
23,35,12
23,40,13
24,23,1
24,4,2
24,6,3
24,7,4
24,8,5
24,11,6
24,13,7
24,15,8
24,21,9
24,2,10
24,31,11
24,47,12
24,49,13
25,1,1
25,11,2
25,16,3
25,21,4
25,2,5
25,12,6
25,23,7
25,40,8
25,29,9
25,10,10
25,20,11
25,9,12
25,45,13
26,1,1
26,6,2
26,2,3
26,46,4
26,11,5
26,7,6
26,27,7
26,3,8
26,8,9
26,23,10
26,33,11
26,48,12
26,49,13
26,30,14
27,3,1
27,6,2
27,8,3
27,11,4
27,12,5
27,13,6
27,14,7
27,24,8
27,27,9
27,34,10
27,49,11
27,45,12
28,1,1
28,2,2
28,18,3
28,6,4
28,11,5
28,3,6
28,20,7
28,23,8
28,30,9
28,37,10
28,44,11
28,47,12
29,1,1
29,2,2
29,4,3
29,6,4
29,8,5
29,11,6
29,12,7
29,14,8
29,22,9
29,23,10
29,25,11
29,38,12
29,47,13
29,49,14
30,1,1
30,50,2
30,6,3
30,7,4
30,12,5
30,15,6
30,19,7
30,22,8
30,26,9
30,42,10
30,47,11
30,49,12
30,3,13
31,1,1
31,2,2
31,11,3
31,6,4
31,7,5
31,3,6
31,13,7
31,18,8
31,24,9
31,25,10
31,28,11
31,30,12
31,40,13
31,44,14
31,45,15
32,1,1
32,11,2
32,21,3
32,26,4
32,41,5
32,2,6
32,49,7
32,12,8
32,27,9
32,3,10
32,4,11
32,34,12
32,7,13
32,30,14
33,2,1
33,3,2
33,38,3
33,10,4
33,11,5
33,12,6
33,29,7
33,6,8
33,40,9
33,44,10
34,1,1
34,7,2
34,11,3
34,21,4
34,6,5
34,12,6
34,33,7
34,43,8
34,34,9
34,44,10
34,10,11
34,15,12
34,30,13
34,35,14
35,1,1
35,2,2
35,3,3
35,5,4
35,6,5
35,7,6
35,18,7
35,22,8
35,29,9
35,37,10
35,49,11
35,50,12
36,1,1
36,2,2
36,3,3
36,6,4
36,7,5
36,9,6
36,10,7
36,12,8
36,13,9
36,14,10
36,22,11
36,24,12
36,30,13
36,36,14
36,46,15
37,6,1
37,8,2
37,26,3
37,2,4
37,7,5
37,3,6
37,21,7
37,14,8
37,29,9
37,35,10
38,1,1
38,11,2
38,21,3
38,12,4
38,17,5
38,22,6
38,27,7
38,13,8
38,38,9
38,4,10
38,44,11
38,25,12
39,1,1
39,2,2
39,34,3
39,5,4
39,6,5
39,7,6
39,11,7
39,15,8
39,23,9
39,33,10
39,4,11
39,37,12
39,46,13
39,50,14
40,6,1
40,11,2
40,36,3
40,2,4
40,7,5
40,12,6
40,17,7
40,37,8
40,8,9
40,44,10
40,14,11
40,19,12
40,23,13
40,35,14
41,14,1
41,3,2
41,6,3
41,7,4
41,9,5
41,12,6
41,1,7
41,15,8
41,35,9
41,38,10
41,43,11
42,1,1
42,24,2
42,2,3
42,7,4
42,17,5
42,37,6
42,8,7
42,28,8
42,48,9
42,6,10
42,30,11
43,1,1
43,2,2
43,6,3
43,10,4
43,11,5
43,23,6
43,28,7
43,26,8
43,25,9
43,34,10
43,38,11
43,42,12
43,48,13
44,2,1
44,5,2
44,6,3
44,8,4
44,9,5
44,11,6
44,12,7
44,13,8
44,15,9
44,47,10
44,26,11
44,28,12
44,35,13
44,45,14
44,21,15
45,1,1
45,6,2
45,12,3
45,32,4
45,3,5
45,23,6
45,43,7
45,4,8
45,34,9
45,14,10
45,9,11
45,15,12
46,1,1
46,2,2
46,4,3
46,11,4
46,12,5
46,14,6
46,18,7
46,23,8
46,29,9
46,28,10
46,27,11
47,30,1
47,3,2
47,10,3
47,11,4
47,12,5
47,16,6
47,22,7
47,25,8
47,29,9
47,2,10
47,32,11
48,1,1
48,2,2
48,4,3
48,6,4
48,7,5
48,10,6
48,12,7
48,18,8
48,28,9
48,26,10
48,22,11
48,29,12
48,30,13
48,33,14
48,39,15
49,1,1
49,5,2
49,41,3
49,46,4
49,2,5
49,7,6
49,12,7
49,37,8
49,42,9
49,8,10
49,14,11
49,6,12
50,2,1
50,5,2
50,12,3
50,9,4
50,11,5
50,6,6
50,15,7
50,18,8
50,23,9
50,24,10
50,28,11
50,29,12
50,31,13
50,37,14
50,34,15
50,42,16
50,49,17
51,24,1
51,2,2
51,7,3
51,11,4
51,12,5
51,15,6
51,22,7
51,1,8
51,27,9
51,32,10
51,33,11
52,1,1
52,4,2
52,7,3
52,8,4
52,35,5
52,12,6
52,14,7
52,24,8
52,25,9
52,27,10
52,11,11
52,38,12
53,19,1
53,6,2
53,7,3
53,8,4
53,11,5
53,3,6
53,20,7
53,23,8
53,24,9
53,30,10
53,31,11
53,49,12
54,1,1
54,6,2
54,11,3
54,31,4
54,7,5
54,12,6
54,18,7
54,37,8
54,42,9
54,27,10
54,35,11
55,11,1
55,26,2
55,2,3
55,7,4
55,12,5
55,37,6
55,3,7
55,8,8
55,13,9
55,10,10
55,4,11
55,23,12
55,15,13
55,20,14
55,30,15
56,1,1
56,3,2
56,15,3
56,7,4
56,12,5
56,4,6
56,17,7
56,21,8
56,22,9
56,32,10
56,35,11
57,1,1
57,31,2
57,8,3
57,10,4
57,11,5
57,17,6
57,24,7
57,6,8
57,44,9
57,50,10
58,14,1
58,6,2
58,26,3
58,7,4
58,12,5
58,22,6
58,27,7
58,42,8
58,9,9
58,1,10
58,25,11
59,1,1
59,2,2
59,8,3
59,9,4
59,40,5
59,11,6
59,13,7
59,31,8
59,10,9
59,43,10
59,49,11
60,2,1
60,6,2
60,7,3
60,11,4
60,12,5
60,31,6
60,27,7
60,24,8
60,39,9
60,43,10
60,48,11
61,6,1
61,11,2
61,16,3
61,32,4
61,12,5
61,22,6
61,7,7
61,8,8
